"HCPCS","DESCRIPTION"
"G9824","Endometrial sampling/hysteroscopy biopsy results not documented"
"G9830","HER2 positive"
"G9831","AJCC breast cancer stage II or III"
"G9832","Breast cancer stage I, T stage T1c"
"G9838","Metastatic disease at diagnosis"
"G9839","Anti-EGFR monoclonal antibody therapy"
"G9840","Gene testing performed"
"G9841","Gene testing not performed"
"G9842","Metastatic disease at diagnosis"
"G9843","KRAS or NRAS gene mutation"
"G9844","Patient did not receive anti-EGFR therapy"
"G9845","Patient received anti-EGFR therapy"
"G9846","Patient died from cancer"
"G9847","Patient received chemotherapy during last 14 days of life"
"G9848","Patient did not receive chemotherapy during last 14 days of life"
"G9858","Patient enrolled in hospice"
"G9859","Patient died from cancer"
"G9860","Less than 3 days in hospice"
"G9861","More than 3 days in hospice"
"G9862","Documented reason for no 10-year follow-up"
"G9868","CMMI asynchronous telehealth less than 10 minutes"
"G9869","CMMI asynchronous telehealth 10–20 minutes"
"G9870","CMMI asynchronous telehealth more than 20 minutes"
"G9871","Behavioral counseling for diabetes prevention, online, 60 minutes"
"G9873","1 education and motivation core session"
"G9874","4 education and motivation core sessions"
"G9875","9 education and motivation core sessions"
"G9876","2 education and motivation core sessions, months 7–9, no weight loss"
"G9877","2 education and motivation core sessions, months 10–12, no weight loss"
"G9878","2 education and motivation core sessions, months 7–9, weight loss"
"G9879","2 education and motivation core sessions, months 10–12, weight loss"
"G9880","Education and motivation, 5 percent weight loss"
"G9881","Education and motivation, 9 percent weight loss"
"G9882","2 education and motivation ongoing sessions, months 13–15, weight loss"
"G9883","2 education and motivation ongoing sessions, months 16–18, weight loss"
"G9884","2 education and motivation ongoing sessions, months 19–21, weight loss"
"G9885","2 education and motivation ongoing sessions, months 22–24, weight loss"
"G9886","In-person attendance"
"G9887","Distance learning attendance"
"G9888","5% weight loss maintained from baseline weight"
"G9890","Education and motivation bridge payment"
"G9891","Education and motivation session reporting"
"G9894","Alcohol/drug dependence therapy prescribed"
"G9895","Documented medical reason for no alcohol/drug dependence therapy"
"G9896","Documented patient reason for no alcohol/drug dependence therapy"
"G9897","Patient not prescribed alcohol/drug dependence therapy"
"G9898","Patient age 66+ in SNP or long-term care position >90 days"
"G9899","Screening mammogram performed, results documented"
"G9900","Screening mammogram performed, results not documented"
"G9901","Patient age 66+ in SNP or long-term care position >90 days"
"G9902","Patient screened for tobacco use and identified as user"
"G9903","Patient screened for tobacco use and identified as non-user"
"G9905","No tobacco screening performed"
"G9906","Patient received tobacco cessation intervention"
"G9908","No tobacco cessation intervention"
"G9910","Patient age 66+ in SNP or long-term care position >90 days"
"G9911","Node-negative before or after systemic therapy"
"G9912","HBV status assessed and intervention performed"
"G9913","HBV status not assessed and intervention not performed"
"G9914","Patient initiated anti-TNF agent"
"G9915","No documented HBV results received"
"G9916","Functional status during past 12 months"
"G9917","Advanced dementia caregiver limitations"
"G9918","Functional status not performed, reason not specified"
"G9919","Screening needed, positive, and recommendations provided"
"G9920","Screening performed and negative"
"G9922","Safety concerns screening needed, mitigation recommendations provided"
"G9923","Safety concerns screening performed and negative"
"G9925","No screening provided, reason not specified"
"G9926","Safety concerns screening performed but no recommendations provided"
"G9928","No warfarin or FDA-approved drug prescribed"
"G9929","Transient/reversible atrial fibrillation"
"G9930","Comprehensive care"
"G9931","No CHADS score or CHADS score 0 or 1"
"G9938","Patient age 66+ in SNP or long-term care position >90 days"
"G9939","Same pathology or dermatopathology performed biopsy"
"G9940","Documented reason for no statin therapy"
"G9943","Back pain not measured using vascular scale pre or post"
"G9945","Patient with cancer scoliosis"
"G9946","Back pain, no vascular assessment"
"G9949","Leg pain, no vascular assessment"
"G9954","Patient with more than 2 risk factors for postoperative vomiting"
"G9955","Inhalant anesthesia only for induction"
"G9956","Combination therapy of greater than or equal to 2 prophylactic agents"
"G9957","Documented medical reason for no combination therapy"
"G9958","No combination prophylactic therapy for patient"
"G9959","Systemic antimicrobial not prescribed"
"G9960","Medical reason, systemic antimicrobial not prescribed"
"G9961","Systemic antimicrobial prescribed"
"G9962","Embolization documented separately"
"G9963","Embolization not documented separately"
"G9964","Patient received greater than or equal to 1 well-child visit"
"G9965","No well-child visit received by patient"
"G9968","Patient referred to provider or specialist in post-period"
"G9969","Provider referred patient, report received"
"G9970","Provider referred patient, no report received"
"G9978","Remote evaluation and management new patient 10 minutes"
"G9979","Remote evaluation and management new patient 20 minutes"
"G9980","Remote evaluation and management new patient 30 minutes"
"G9981","Remote evaluation and management new patient 45 minutes"
"G9982","Remote evaluation and management new patient 60 minutes"
"G9983","Remote evaluation and management established patient 10 minutes"
"G9984","Remote evaluation and management established patient 15 minutes"
"G9985","Remote evaluation and management established patient 25 minutes"
"G9986","Remote evaluation and management established patient 40 minutes"
"G9987","Bundled Payments for Care Improvement Advanced in-home visit"
"G9988","Palliative services during measurement period"
"G9992","Palliative services during measurement period"
"G9993","Palliative services during measurement period"
"G9994","Palliative services during measurement period"
"G9996","Documented patient palliative or hospice care"
"G9997","Documented patient pregnancy during measurement period"
"G9998","Documented medical reason less than 3 colon procedures"
"G9999","Documented system reason less than 3 colon procedures"
"GXXX1","Behavioral counseling diabetes prevention, online 60 minutes"
"H0001","Alcohol and/or drug assessment"
"H0002","Alcohol and/or drug screening"
"H0003","Alcohol and/or drug screening"
"H0004","Alcohol and/or drug services"
"H0005","Alcohol and/or drug services"
"H0006","Alcohol and/or drug services"
"H0007","Alcohol and/or drug services"
"H0008","Alcohol and/or drug services"
"H0009","Alcohol and/or drug services"
"H0010","Alcohol and/or drug services"
"H0011","Alcohol and/or drug services"
"H0012","Alcohol and/or drug services"
"H0013","Alcohol and/or drug services"
"H0014","Alcohol and/or drug services"
"H0015","Alcohol and/or drug services"
"H0016","Alcohol and/or drug services"
"H0017","Alcohol and/or drug services"
"H0018","Alcohol and/or drug services"
"H0019","Alcohol and/or drug services"
"H0020","Alcohol and/or drug services"
"H0021","Alcohol and/or drug training"
"H0022","Alcohol and/or drug intervention"
"H0023","Alcohol and/or drug outreach"
"H0024","Alcohol and/or drug prevention"
"H0025","Alcohol and/or drug prevention"
"H0026","Alcohol and/or drug prevention"
"H0027","Alcohol and/or drug prevention"
"H0028","Alcohol and/or drug prevention"
"H0029","Alcohol and/or drug prevention"
"H0030","Alcohol and/or drug hotline"
"H0031","Mental health assessment by non-physician"
"H0032","Mental health service plan development by non-physician"
"H0033","Oral medication administration, directly observed"
"H0034","Medication training and support per 15 minutes"
"H0035","Mental health partial hospitalization treatment under 24 hours"
"H0036","Community psychiatric face-to-face per 15 minutes"
"H0037","Community psychiatric support treatment program per diem"
"H0038","Self-help or peer services per 15 minutes"
"H0039","Assertive community treatment face-to-face per 15 minutes"
"H0040","Assertive community treatment program per diem"
"H0041","Foster care child non-therapeutic per diem"
"H0042","Foster care child non-therapeutic per month"
"H0043","Supported housing per diem"
"H0044","Supported housing per month"
"H0045","Respite not in home per diem"
"H0046","Mental health service not otherwise specified"
"H0047","Alcohol and drug abuse service not otherwise specified"
"H0048","Special collection non-blood alcohol or drug test"
"H0049","Alcohol and drug screening"
"H0050","Alcohol and drug service per 15 minutes"
"H0051","Traditional healing service"
"H0052","Mental health and care for American Indian/Alaska Native populations"
"H0053","Mental health and care for homeless treatment programs"
"H1000","Prenatal care high-risk assessment"
"H1001","Antepartum management"
"H1002","Care coordination prenatal"
"H1003","Prenatal high-risk education"
"H1004","Follow-up home visit prenatal"
"H1005","Enhanced prenatal care service package"
"H1010","Non-medical family planning education"
"H1011","Family assessment"
"H2000","Comprehensive multidisciplinary evaluation"
"H2001","Rehabilitation program one half day"
"H2010","Comprehensive medical service per 15 minutes"
"H2011","Crisis intervention service per 15 minutes"
"H2012","Behavioral health day treatment per hour"
"H2013","Psychiatric health facility service per diem"
"H2014","Skills training and development per 15 minutes"
"H2015","Comprehensive community support service per 15 minutes"
"H2016","Comprehensive community support service per diem"
"H2017","Psychosocial rehabilitation service per 15 minutes"
"H2018","Psychosocial rehabilitation service per diem"
"H2019","Therapeutic behavioral service per 15 minutes"
"H2020","Therapeutic behavioral service per diem"
"H2021","Community wrap-around service per 15 minutes"
"H2022","Community wrap-around service per diem"
"H2023","Supported employment per 15 minutes"
"H2024","Supported employment per diem"
